date,show,score,music,visual,ge,perc,brass,guard
2024-06-28,Corps At The Crest Student Edition,76.6,22.85,22.75,31.0,15.4,15.1,15.2
2024-06-29,Corps At The Crest,77.1,23.0,23.0,31.1,15.4,15.3,15.3
2024-06-30,Western Corps Connection,77.3,23.4,23.3,30.6,15.6,15.8,15.4
2024-07-05,Midcal Champions Showcase,80.6,24.15,24.15,32.3,16.0,16.1,15.8
2024-07-06,DCI West,81.3,24.55,23.95,32.8,16.2,16.2,15.7
2024-07-07,DCI Capital Classic,82.05,24.65,24.5,32.9,16.4,16.5,16.0
2024-07-10,Corps Encore,84.0,25.65,24.65,33.7,17.2,17.1,16.5
2024-07-13,Drums Along The Rockies,85.55,25.55,25.7,34.3,16.9,17.1,17.3
2024-07-16,DCI Broken Arrow,88.25,26.25,26.7,35.3,17.4,17.7,17.5
2024-07-19,DCI Houston,91.15,27.25,27.3,36.6,18.3,18.2,18.3
2024-07-20,DCI Southwestern Championship,91.875,27.95,27.3,36.625,18.55,18.7,18.2
2024-07-26,The Masters Of The Summer Music Games,92.75,27.8,27.95,37.0,18.2,18.8,18.5
2024-07-27,DCI Southeastern Championship,93.325,28.1,28.0,37.225,18.85,18.7,19.0
