date,show,score,music,visual,ge,perc,brass,guard
2024-07-05,Northwest Youth Music Games Portland,69.6,20.55,21.35,27.7,13.8,13.7,14.0
2024-07-06,Northwest Youth Music Games Seattle,72.25,21.1,21.95,29.2,14.2,14.0,14.6
2024-07-08,Drums Along The Columbia,74.4,22.05,22.65,29.7,14.8,14.6,15.1
2024-07-09,Northwest Youth Music Games Boise,73.5,21.7,22.0,29.8,13.6,15.0,14.1
2024-07-10,Corps Encore,74.7,22.7,22.1,29.9,15.5,14.6,14.2
2024-07-13,Drums Along The Rockies,75.15,22.1,22.75,30.3,14.5,14.4,15.1
2024-07-15,West Texas Drums,75.2,22.25,22.65,30.3,14.6,14.6,14.8
2024-07-16,DCI Abilene,77.7,22.8,23.2,31.7,15.5,15.0,15.1
2024-07-18,DCI Waco,79.0,23.75,23.65,31.6,15.5,16.0,15.3
2024-07-20,DCI Southwestern Championship,79.1,24.05,23.25,31.8,16.3,15.9,15.0
2024-07-23,DCI Mckinney,81.3,24.2,24.2,32.9,16.9,15.5,16.3
2024-07-24,DCI Monroe,82.05,24.15,24.7,33.2,15.6,16.4,16.4
2024-07-26,DCI Birmingham,82.45,24.4,25.05,33.0,16.1,16.2,16.6
