date,show,score,music,visual,ge,perc,brass,guard
2024-06-26,Midwest Premiere,66.65,19.5,19.75,27.4,12.5,12.9,13.4
2024-06-28,DCI Central Indiana,67.2,20.0,20.0,27.2,12.9,13.3,13.5
2024-06-29,Drums On Parade,68.0,20.4,20.4,27.2,13.4,13.7,13.7
2024-06-30,Cavalcade Of Brass,70.4,20.75,21.35,28.3,14.1,13.7,14.5
2024-07-03,Rotary Music Festival,73.35,21.85,22.6,28.9,14.5,14.7,15.0
2024-07-05,Show Of Shows,74.1,22.55,22.35,29.2,15.2,14.9,15.0
2024-07-07,River City Rhapsody,75.55,22.8,22.85,29.9,15.3,15.3,15.3
2024-07-11,Music On The March,78.05,23.85,23.6,30.6,16.1,16.2,15.5
2024-07-13,Midwest Classic,78.9,24.45,23.95,30.5,16.7,16.5,16.3
2024-07-14,Celebration In Brass,81.15,24.8,24.45,31.9,17.3,16.1,16.5
2024-07-19,DCI Houston,83.4,24.65,25.25,33.5,16.0,16.7,17.0
2024-07-20,DCI Southwestern Championship,84.938,25.613,25.25,34.075,16.4,17.4,16.9
2024-07-23,DCI Mckinney,85.85,25.3,25.75,34.8,16.7,16.5,17.5
2024-07-24,DCI Monroe,87.45,26.1,26.15,35.2,17.4,17.2,17.8
2024-07-27,DCI Southeastern Championship,86.725,25.925,26.1,34.7,17.5,17.0,17.8
