date,show,score,music,visual,ge,perc,brass,guard
2024-06-28,DCI Central Indiana,74.9,22.2,22.4,30.3,14.2,15.1,14.6
2024-06-30,Cavalcade Of Brass,77.1,22.8,22.8,31.5,15.4,15.0,15.2
2024-07-02,Summer Music Games In Cincinnati,77.95,23.55,23.1,31.3,15.5,15.8,15.5
2024-07-08,Drums Across The Smokies,83.45,25.3,24.85,33.3,16.4,16.2,16.5
2024-07-13,DCI Little Rock,85.25,25.8,25.65,33.8,17.0,17.5,17.0
2024-07-16,DCI Broken Arrow,86.75,26.05,26.2,34.5,17.2,17.4,17.4
2024-07-18,DCI Denton,87.975,26.675,26.0,35.3,17.45,18.0,17.6
2024-07-19,DCI Houston,89.8,27.05,26.75,36.0,17.7,18.3,18.0
2024-07-20,DCI Southwestern Championship,89.925,27.05,27.1,35.775,17.8,18.0,18.3
2024-07-22,DCI Mesquite,90.55,27.1,27.45,36.0,18.1,17.5,18.4
2024-07-26,The Masters Of The Summer Music Games,90.5,27.1,27.1,36.3,17.6,18.1,18.3
2024-07-27,DCI Southeastern Championship,91.575,27.4,27.45,36.725,18.2,18.1,18.7
2024-07-28,Nightbeat,91.95,27.55,27.6,36.8,18.15,18.3,18.7
2024-07-30,Summer Music Games Of Southwest Virginia,93.2,28.05,27.95,37.2,18.9,18.8,19.0
