date,show,score
2024-06-26,Midwest Premiere,65.4
2024-06-28,DCI Central Indiana,67.1
2024-06-29,Drums On Parade,67.6
2024-06-30,Cavalcade Of Brass,70.7
2024-07-03,Rotary Music Festival,73.15
2024-07-06,The Whitewater Classic,75.85
2024-07-07,River City Rhapsody,76.65
2024-07-09,The Kiwanis Thunder Of Drums,76.95
2024-07-11,Music On The March,78.1
2024-07-13,Midwest Classic,78.85
2024-07-14,Celebration In Brass,79.8
2024-07-15,Brass Impact,80.1
2024-07-19,DCI Houston,81.95
2024-07-20,DCI Southwestern Championship,83.35
2024-07-22,DCI Mesquite,83.9
2024-07-26,DCI Birmingham,85.55
