date,show,score,music,visual,ge,perc,brass,guard
2024-06-29,Drums On Parade,65.85,19.4,19.45,27.0,13.2,13.0,12.8
2024-06-30,Cavalcade Of Brass,67.4,20.15,20.05,27.2,13.6,13.5,13.2
2024-07-03,Rotary Music Festival,70.2,20.6,21.3,28.3,13.2,13.9,13.8
2024-07-05,Show Of Shows,71.35,21.25,21.3,28.8,13.8,14.5,14.0
2024-07-06,The Whitewater Classic,72.5,21.75,21.55,29.2,14.8,14.2,14.2
2024-07-07,River City Rhapsody,73.15,21.75,21.9,29.5,14.5,14.3,14.5
2024-07-09,The Kiwanis Thunder Of Drums,74.95,22.3,22.55,30.1,14.9,14.6,14.8
2024-07-13,Midwest Classic,74.75,22.35,22.8,29.6,14.0,15.3,15.5
2024-07-15,Brass Impact,76.35,23.15,23.2,30.0,15.6,15.6,15.6
2024-07-18,DCI Waco,79.75,23.75,24.3,31.7,15.1,16.3,16.2
2024-07-20,DCI Southwestern Championship,80.05,23.875,24.35,31.825,14.9,16.6,16.3
2024-07-22,DCI Mesquite,80.8,23.3,24.4,33.1,14.9,15.6,16.1
2024-07-26,DCI Birmingham,82.325,24.225,24.9,33.2,15.0,16.65,16.2
2024-07-28,Nightbeat,83.5,24.85,25.05,33.6,15.8,16.8,16.7
