date,show,score,music,visual,ge,perc,brass,guard
2024-06-28,Corps At The Crest Student Edition,71.65,20.9,21.45,29.3,14.2,14.2,14.4
2024-06-29,Corps At The Crest,71.25,21.35,21.9,28.0,14.3,14.6,14.6
2024-06-30,Western Corps Connection,72.95,21.6,22.15,29.2,14.5,14.3,14.6
2024-07-05,Midcal Champions Showcase,76.6,22.8,23.1,30.7,15.2,14.9,15.3
2024-07-06,DCI West,76.6,23.15,22.65,30.8,14.9,15.6,15.1
2024-07-07,DCI Capital Classic,78.4,23.2,23.1,32.1,15.0,15.9,15.0
2024-07-09,Northwest Youth Music Games Boise,80.0,23.5,24.1,32.4,14.6,16.5,16.0
2024-07-10,Corps Encore,79.9,24.15,23.75,32.0,15.8,16.2,15.8
2024-07-13,Drums Along The Rockies,81.7,24.4,24.5,32.8,16.1,16.1,16.4
2024-07-16,DCI Broken Arrow,82.5,24.65,24.65,33.2,16.3,16.6,16.5
2024-07-19,DCI Houston,86.4,25.55,25.65,35.2,16.4,17.2,17.1
2024-07-20,DCI Southwestern Championship,87.225,26.15,26.2,34.875,17.0,17.6,17.1
2024-07-22,DCI Mesquite,88.15,25.95,26.7,35.5,17.2,16.6,17.5
2024-07-23,DCI Mckinney,89.0,26.15,26.95,35.9,17.7,16.8,17.7
2024-07-26,The Masters Of The Summer Music Games,88.2,26.05,26.55,35.6,16.9,17.4,17.7
2024-07-27,DCI Southeastern Championship,88.15,26.425,26.25,35.475,17.4,17.6,17.9
