date,show,score,music,visual,ge,perc,brass,guard
2024-06-28,Corps At The Crest Student Edition,64.3,19.45,18.85,26.0,13.5,12.7,12.8
2024-06-29,Corps At The Crest,62.7,19.65,19.35,23.7,13.7,12.8,12.7
2024-06-30,Western Corps Connection,64.0,19.7,19.4,24.9,13.7,13.1,12.9
2024-07-05,Midcal Champions Showcase,68.65,21.75,20.5,26.4,14.6,14.2,14.0
2024-07-06,DCI West,70.7,21.85,20.65,28.2,14.6,14.5,13.4
2024-07-07,DCI Capital Classic,71.05,21.7,20.65,28.7,14.7,14.7,13.2
2024-07-10,Corps Encore,71.65,21.85,21.2,28.6,15.1,14.1,14.5
2024-07-12,Drums Along The Rockies Cheyenne Edition,74.45,22.75,22.4,29.3,15.2,15.5,15.2
2024-07-13,Drums Along The Rockies,74.05,22.4,21.95,29.7,14.8,15.0,14.8
2024-07-15,West Texas Drums,75.6,22.65,22.45,30.5,15.5,14.8,15.1
2024-07-16,DCI Abilene,77.45,23.35,23.0,31.1,16.2,15.2,15.6
2024-07-18,DCI Denton,77.45,23.05,22.6,31.8,14.9,15.8,15.1
2024-07-20,DCI Southwestern Championship,77.375,23.1,22.8,31.475,15.3,15.0,15.6
2024-07-22,DCI Mesquite,78.4,23.5,23.0,31.9,16.0,15.2,15.6
