date,show,score
2024-06-26,Midwest Premiere,70.15
2024-06-28,DCI Central Indiana,72.15
2024-06-30,Cavalcade Of Brass,73.8
2024-07-02,Summer Music Games In Cincinnati,75.6
2024-07-05,Show Of Shows,77.5
2024-07-06,The Whitewater Classic,79.15
2024-07-07,River City Rhapsody,80.65
2024-07-09,The Kiwanis Thunder Of Drums,81.4
2024-07-11,Music On The March,82.9
2024-07-13,Midwest Classic,84.75
2024-07-15,Brass Impact,85.35
2024-07-16,DCI Broken Arrow,84.55
2024-07-18,DCI Denton,86.6
2024-07-20,DCI Southwestern Championship,89.625
2024-07-26,The Masters Of The Summer Music Games,90.65
