date,show,score,music,visual,ge,perc,brass,guard
2024-07-05,Northwest Youth Music Games Portland,61.65,18.9,18.05,24.7,12.5,12.5,10.8
2024-07-06,Northwest Youth Music Games Seattle,61.65,19.3,17.35,25.0,13.4,12.3,11.1
2024-07-08,Drums Along The Columbia,63.15,19.3,18.15,25.7,13.2,12.7,11.0
2024-07-09,Northwest Youth Music Games Boise,64.8,19.45,19.35,26.0,12.9,13.1,13.5
2024-07-10,Corps Encore,63.9,19.45,18.95,25.5,12.8,12.9,11.7
2024-07-12,Drums Along The Rockies Cheyenne Edition,64.2,19.75,18.95,25.5,13.7,12.6,12.6
2024-07-13,Drums Along The Rockies,64.5,19.75,19.15,25.6,13.0,12.7,12.8
2024-07-15,West Texas Drums,64.6,19.85,19.15,25.6,13.0,13.0,12.9
2024-07-16,DCI Abilene,65.85,19.85,19.4,26.6,13.7,12.9,12.9
2024-07-18,DCI Waco,67.5,19.9,19.8,27.8,12.8,13.6,13.2
2024-07-20,DCI Southwestern Championship,69.225,20.725,21.0,27.5,14.1,13.9,14.0
2024-07-23,DCI Mckinney,70.2,20.4,21.4,28.4,14.8,13.1,14.1
