date,show,score,music,visual,ge,perc,brass,guard
2024-07-05,Midcal Champions Showcase,65.5,20.85,20.15,24.5,13.9,13.6,12.5
2024-07-06,DCI West,67.25,21.15,19.0,27.1,14.0,13.9,12.6
2024-07-07,DCI Capital Classic,68.35,20.75,19.8,27.8,13.9,14.1,12.6
2024-07-10,Corps Encore,70.7,21.7,20.4,28.6,15.0,14.2,12.8
2024-07-12,Drums Along The Rockies Cheyenne Edition,71.55,21.7,21.25,28.6,15.0,13.3,13.5
2024-07-13,Drums Along The Rockies,72.35,21.3,21.55,29.5,14.0,13.8,14.1
2024-07-15,West Texas Drums,72.85,21.8,21.95,29.1,15.0,13.8,14.7
2024-07-18,DCI Waco,74.5,22.15,22.55,29.8,14.5,14.4,15.1
2024-07-20,DCI Southwestern Championship,75.0,22.75,22.55,29.7,15.6,14.9,15.1
2024-07-22,DCI Mesquite,75.8,22.95,22.55,30.3,15.8,15.0,14.8
2024-07-27,DCI Southeastern Championship,78.45,24.35,23.2,30.9,16.3,15.9,15.0
