date,show,score
2024-06-26,Midwest Premiere,68.25
2024-06-28,DCI Central Indiana,69.1
2024-06-30,Cavalcade Of Brass,71.85
2024-07-03,Rotary Music Festival,75.05
2024-07-05,Show Of Shows,75.9
2024-07-06,The Whitewater Classic,77.15
2024-07-11,Music On The March,78.1
2024-07-13,Midwest Classic,79.6
2024-07-16,DCI Broken Arrow,80.95
2024-07-18,DCI Waco,82.6
2024-07-19,DCI Houston,84.0
2024-07-20,DCI Southwestern Championship,84.675
2024-07-22,DCI Mesquite,85.3
2024-07-24,DCI Monroe,86.65
2024-07-26,The Masters Of The Summer Music Games,85.45
