date,show,score,music,visual,ge,perc,brass,guard
2024-07-05,Northwest Youth Music Games Portland,71.45,21.85,21.0,28.6,14.7,14.9,13.6
2024-07-06,Northwest Youth Music Games Seattle,72.9,22.0,21.4,29.5,14.7,14.6,14.3
2024-07-08,Drums Along The Columbia,75.75,23.05,22.6,30.1,15.7,15.5,15.0
2024-07-09,Northwest Youth Music Games Boise,75.2,22.65,22.35,30.2,14.5,15.8,14.9
2024-07-10,Corps Encore,76.65,23.85,22.3,30.5,16.3,15.8,14.6
2024-07-12,Drums Along The Rockies Cheyenne Edition,78.4,24.35,22.95,31.1,16.4,16.4,14.8
2024-07-13,Drums Along The Rockies,77.75,24.05,22.8,30.9,16.0,16.2,14.9
2024-07-15,Brass Impact,79.1,24.25,23.55,31.3,16.2,16.4,15.3
2024-07-20,DCI Southwestern Championship,81.875,25.125,23.7,33.05,16.9,16.5,15.9
2024-07-23,DCI Mckinney,82.55,25.05,24.2,33.3,17.2,16.0,16.2
2024-07-24,DCI Monroe,84.0,25.65,24.95,33.4,17.3,16.8,16.3
2024-07-26,DCI Birmingham,85.35,25.9,25.45,34.0,17.5,17.0,16.5
2024-07-28,Nightbeat,86.375,26.725,25.2,34.45,18.5,17.3,16.4
