date,show,score,music,visual,ge,perc,brass,guard
2024-06-26,Midwest Premiere,65.4,19.2,19.4,26.8,12.4,12.7,12.8
2024-06-28,DCI Central Indiana,67.1,20.35,19.65,27.1,13.7,13.4,12.9
2024-06-29,Drums On Parade,67.6,20.3,20.2,27.1,13.7,13.8,13.5
2024-06-30,Cavalcade Of Brass,70.7,21.1,21.1,28.5,14.7,14.0,14.3
2024-07-03,Rotary Music Festival,73.15,21.65,22.2,29.3,14.8,14.2,14.9
2024-07-06,The Whitewater Classic,75.85,22.75,22.7,30.4,15.7,14.6,15.3
2024-07-07,River City Rhapsody,76.65,22.85,22.8,31.0,15.6,14.7,15.2
2024-07-09,The Kiwanis Thunder Of Drums,76.95,22.85,23.3,30.8,15.5,14.7,15.6
2024-07-11,Music On The March,78.1,23.8,23.4,30.9,16.4,15.5,15.3
2024-07-13,Midwest Classic,78.85,24.25,24.0,30.6,16.3,16.2,16.1
2024-07-14,Celebration In Brass,79.8,24.6,23.9,31.3,16.9,15.8,16.2
2024-07-15,Brass Impact,80.1,24.1,24.0,32.0,16.5,16.1,16.2
2024-07-19,DCI Houston,81.95,24.8,24.45,32.7,16.6,16.5,16.6
2024-07-20,DCI Southwestern Championship,83.35,25.3,24.85,33.2,17.1,16.9,16.7
2024-07-22,DCI Mesquite,83.9,25.15,25.25,33.5,17.4,16.1,16.9
2024-07-26,DCI Birmingham,85.55,25.8,25.35,34.4,17.7,16.8,17.1
2024-07-27,DCI Southeastern Championship,85.85,26.0,25.8,34.05,17.9,16.8,17.3
2024-07-30,Summer Music Games Of Southwest Virginia,86.9,26.15,25.75,35.0,18.3,16.7,17.3
