date,show,score,music,visual,ge,perc,brass,guard
2024-06-26,Midwest Premiere,70.15,20.55,20.6,29.0,13.1,13.8,13.6
2024-06-28,DCI Central Indiana,72.15,21.7,21.25,29.2,14.3,14.4,13.8
2024-06-30,Cavalcade Of Brass,73.8,22.05,22.05,29.7,15.0,14.5,14.6
2024-07-02,Summer Music Games In Cincinnati,75.6,22.45,22.55,30.6,15.0,14.8,15.2
2024-07-05,Show Of Shows,77.5,23.2,23.3,31.0,15.8,15.3,15.4
2024-07-06,The Whitewater Classic,79.15,23.7,23.75,31.7,16.0,15.4,15.8
2024-07-07,River City Rhapsody,80.65,23.85,24.1,32.7,16.0,15.6,16.1
2024-07-09,The Kiwanis Thunder Of Drums,81.4,24.1,24.6,32.7,16.1,15.8,16.5
2024-07-11,Music On The March,82.9,24.9,25.0,33.0,16.8,16.6,16.8
2024-07-13,Midwest Classic,84.75,25.65,25.3,33.8,17.2,17.3,16.8
2024-07-15,Brass Impact,85.35,25.4,25.65,34.3,16.9,17.0,17.0
2024-07-16,DCI Broken Arrow,84.55,25.3,25.35,33.9,16.9,16.8,16.6
2024-07-18,DCI Denton,86.6,25.75,25.75,35.1,17.4,17.3,17.0
2024-07-20,DCI Southwestern Championship,89.625,27.075,26.85,35.7,18.1,17.9,17.7
2024-07-26,The Masters Of The Summer Music Games,90.65,26.9,27.05,36.7,17.8,17.9,17.9
2024-07-27,DCI Southeastern Championship,91.65,27.5,27.4,36.75,18.7,17.9,18.3
