date,show,score,music,visual,ge,perc,brass,guard
2024-06-28,Corps At The Crest Student Edition,72.65,21.85,21.4,29.4,15.3,14.6,14.1
2024-06-29,Corps At The Crest,72.35,22.15,21.9,28.3,15.3,14.4,14.5
2024-06-30,Western Corps Connection,73.55,22.4,22.15,29.0,15.5,14.6,14.8
2024-07-05,Midcal Champions Showcase,75.9,23.2,22.7,30.0,16.1,14.7,15.1
2024-07-06,DCI West,76.1,23.7,22.2,30.2,16.0,15.4,14.6
2024-07-07,DCI Capital Classic,77.5,23.55,22.75,31.2,16.1,15.7,14.5
2024-07-10,Corps Encore,79.65,24.3,23.45,31.9,16.6,15.9,15.5
2024-07-13,Drums Along The Rockies,82.0,24.8,24.4,32.8,17.1,16.5,16.2
2024-07-15,West Texas Drums,83.25,25.15,24.7,33.4,17.3,16.6,16.5
2024-07-18,DCI Denton,84.3,25.8,24.8,33.7,17.8,16.9,16.5
2024-07-20,DCI Southwestern Championship,87.525,26.6,25.95,34.975,18.5,17.1,17.4
2024-07-23,DCI Mckinney,89.4,27.0,26.5,35.9,18.9,16.7,17.9
2024-07-24,DCI Monroe,89.825,26.925,27.0,35.9,18.7,17.05,18.1
2024-07-27,DCI Southeastern Championship,89.475,27.0,26.95,35.525,18.6,17.3,17.6
2024-07-30,DCI Delaware,90.8,27.35,27.25,36.2,18.8,18.5,18.3
