date,show,score,music,visual,ge,perc,brass,guard
2024-06-26,Midwest Premiere,68.25,20.65,20.0,27.6,13.8,13.4,12.9
2024-06-28,DCI Central Indiana,69.1,21.05,20.25,27.8,14.1,13.7,13.1
2024-06-30,Cavalcade Of Brass,71.85,21.65,21.2,29.0,14.9,14.3,14.2
2024-07-03,Rotary Music Festival,75.05,22.6,22.45,30.0,15.6,14.9,14.8
2024-07-05,Show Of Shows,75.9,23.15,22.75,30.0,16.0,15.0,15.3
2024-07-06,The Whitewater Classic,77.15,23.35,23.2,30.6,16.4,14.9,15.4
2024-07-11,Music On The March,78.1,23.55,23.35,31.2,16.0,15.8,15.4
2024-07-13,Midwest Classic,79.6,23.95,23.95,31.7,16.0,16.0,16.2
2024-07-16,DCI Broken Arrow,80.95,24.4,24.25,32.3,16.5,16.2,16.0
2024-07-18,DCI Waco,82.6,25.4,24.5,32.7,16.7,16.7,16.3
2024-07-19,DCI Houston,84.0,25.35,24.95,33.7,17.1,16.6,16.5
2024-07-20,DCI Southwestern Championship,84.675,25.825,25.25,33.6,17.6,16.8,16.4
2024-07-22,DCI Mesquite,85.3,25.45,25.75,34.1,17.8,15.9,16.7
2024-07-24,DCI Monroe,86.65,25.9,26.15,34.6,18.1,16.2,17.2
2024-07-26,The Masters Of The Summer Music Games,85.45,25.8,25.55,34.1,17.7,16.9,17.2
2024-07-28,Nightbeat,86.0,26.325,25.75,33.925,18.3,17.2,17.4
2024-07-30,Summer Music Games Of Southwest Virginia,86.45,26.25,25.7,34.5,18.7,16.8,17.4
